,Brand,Model,Processor,RAM_GB,Storage_GB,Screen_Size_Inches,Price_USD,Operating_System,Weight_KG,Release_Year
323,Lenovo,2456,AMD Ryzen 7,32,1024,14.2,1312,Windows 10,1.26,2023
324,Lenovo,326,Intel i5,32,512,15.0,1396,Linux,1.25,2022
325,HP,7256,Intel i7,8,1024,16.7,1039,Windows 11,1.58,2024
328,Dell,7586,Intel i7,16,2048,16.7,1307,Linux,1.48,2024
329,HP,4605,AMD Ryzen 7,8,2048,15.0,885,Windows 10,1.37,2024
330,HP,3122,Intel i7,64,256,17.7,1138,Linux,1.54,2024
332,Acer,8230,AMD Ryzen 5,64,2048,13.6,425,Windows 10,2.81,2022
334,Asus,8399,AMD Ryzen 5,32,2048,14.2,1477,Windows 11,1.42,2019
335,Acer,8287,AMD Ryzen 7,32,256,13.3,825,Windows 11,2.24,2021
337,Dell,3312,Intel i5,64,256,14.0,1424,Windows 11,1.29,2022
339,HP,8820,Intel i7,32,1024,18.5,1751,Windows 11,1.36,2020
341,Razer,2623,Intel i5,64,1024,19.9,370,Windows 11,2.34,2023
344,Lenovo,2465,Intel i7,16,1024,16.0,1232,Linux,2.46,2021
345,Microsoft,6708,AMD Ryzen 5,8,512,16.1,1234,Linux,1.89,2019
346,Razer,1170,Intel i7,8,1024,17.0,1455,Windows 10,1.38,2021
348,Lenovo,6809,Intel i7,32,1024,15.4,448,Windows 10,1.63,2018
350,Razer,5034,AMD Ryzen 5,8,1024,13.9,621,Windows 11,1.94,2023
351,Razer,591,Intel i7,32,512,16.4,1939,Linux,2.46,2024
352,Microsoft,6753,Intel i9,8,256,14.7,1198,Windows 10,2.7,2021
353,Dell,3981,AMD Ryzen 5,16,1024,14.3,1308,Windows 10,1.59,2019
356,HP,2497,Intel i7,16,1024,13.7,1967,Linux,1.45,2018
359,Acer,2264,Intel i7,64,512,15.5,1742,Linux,2.18,2018
362,Lenovo,3415,Intel i7,8,512,16.5,702,Linux,1.36,2021
368,Lenovo,1677,AMD Ryzen 7,8,256,17.0,602,Windows 11,1.31,2024
372,Lenovo,5284,Intel i7,8,512,15.2,1229,Linux,1.72,2021
373,Acer,8632,Intel i5,32,2048,15.9,1303,Linux,1.61,2019
374,Microsoft,7622,Intel i9,32,2048,15.8,105,Windows 10,2.56,2021
375,Acer,8655,AMD Ryzen 5,8,2048,12.9,1502,Windows 11,1.51,2019
376,Razer,2137,Intel i9,8,2048,15.8,1322,Windows 11,0.82,2022
377,HP,2195,AMD Ryzen 7,16,256,16.0,1936,Windows 11,1.67,2024
378,Asus,5737,AMD Ryzen 7,64,512,15.1,1329,Windows 11,1.7,2018
380,Acer,6406,Intel i7,32,256,16.3,648,Windows 10,1.88,2022
381,Razer,8802,AMD Ryzen 7,64,256,14.7,1234,Windows 11,1.27,2024
382,Razer,3716,AMD Ryzen 5,32,1024,14.9,2052,Linux,1.27,2022
385,Dell,4920,Intel i5,8,512,15.4,1269,Linux,1.29,2023
387,Asus,5309,Intel i5,16,2048,15.5,1369,Windows 11,2.5,2023
389,Lenovo,2189,AMD Ryzen 5,8,2048,16.6,1412,Linux,1.75,2019
390,Razer,7290,Intel i7,32,256,15.1,1791,Windows 10,1.34,2022
393,Asus,2829,Intel i7,8,256,15.9,1252,Windows 10,2.14,2018
394,Microsoft,8871,AMD Ryzen 7,8,512,13.9,2279,Linux,1.73,2019
398,Dell,2144,Intel i9,8,512,14.9,1474,Linux,2.13,2019
400,Microsoft,8269,AMD Ryzen 7,64,512,14.4,1875,Windows 11,2.35,2018
401,Dell,4449,Intel i9,16,1024,16.3,1442,Linux,2.0,2021
406,HP,2927,Intel i7,16,256,16.5,822,Windows 10,1.26,2020
407,Microsoft,3923,Intel i7,8,1024,15.8,991,Windows 10,2.37,2018
408,Acer,3971,Intel i7,64,1024,16.4,1335,Windows 11,2.26,2019
410,Lenovo,4748,Intel i5,32,2048,12.9,1275,Linux,0.88,2018
412,HP,9585,Intel i9,64,256,18.7,742,Windows 10,2.97,2021
415,Acer,3943,AMD Ryzen 5,64,512,15.8,380,Windows 10,2.04,2020
416,Microsoft,4931,Intel i7,32,1024,16.3,477,Windows 11,1.42,2018
421,Acer,3189,AMD Ryzen 7,64,2048,15.6,1192,Windows 10,1.98,2021
422,Lenovo,5730,AMD Ryzen 5,16,1024,11.9,1388,Windows 10,1.34,2018
426,Apple,4855,Apple M1,16,2048,16.2,1523,macOS,1.87,2023
428,Microsoft,7022,Intel i5,32,512,13.7,1037,Windows 11,1.91,2020
431,Microsoft,8451,Intel i9,32,256,16.9,1182,Linux,1.92,2019
433,Lenovo,1777,Intel i5,32,1024,15.2,1004,Windows 10,2.77,2020
434,Dell,7582,AMD Ryzen 5,8,2048,14.1,171,Windows 11,1.11,2020
436,Razer,9548,Intel i7,32,2048,15.5,1204,Windows 11,1.47,2019
440,HP,9316,AMD Ryzen 5,32,1024,17.1,1410,Windows 10,1.69,2019
445,Acer,1119,Intel i5,32,512,16.3,1435,Windows 10,2.14,2023
449,HP,3505,AMD Ryzen 5,16,2048,16.5,1204,Windows 10,1.44,2020
451,Acer,106,Intel i7,8,1024,11.6,782,Linux,2.31,2020
452,Dell,6185,Intel i7,64,1024,13.9,747,Windows 10,1.7,2020
454,Acer,1701,AMD Ryzen 5,16,2048,16.5,1055,Linux,2.05,2021
457,Razer,9785,AMD Ryzen 7,8,2048,16.1,1780,Linux,1.89,2022
458,Asus,8328,AMD Ryzen 7,32,1024,15.3,1716,Windows 11,1.54,2021
460,Razer,400,Intel i9,32,2048,17.9,1554,Windows 11,1.32,2023
463,Microsoft,6469,Intel i5,8,1024,15.5,877,Windows 11,2.29,2021
465,HP,8526,AMD Ryzen 7,8,2048,14.9,1564,Linux,1.99,2020
468,Acer,8010,Intel i7,64,2048,14.2,1317,Windows 10,1.98,2022
470,Microsoft,5378,AMD Ryzen 7,8,2048,16.0,958,Windows 11,1.1,2020
474,Razer,3723,AMD Ryzen 5,8,512,15.8,1680,Windows 11,1.87,2018
482,Lenovo,757,Intel i7,16,256,15.8,1204,Windows 10,1.13,2020
483,Lenovo,9920,Intel i7,32,512,14.9,1125,Windows 11,2.16,2018
484,Microsoft,2807,Intel i9,8,256,16.7,919,Windows 10,1.81,2021
486,Razer,1474,AMD Ryzen 7,16,2048,14.9,2210,Linux,1.32,2020
495,Microsoft,606,AMD Ryzen 5,64,2048,14.0,993,Linux,1.93,2020
500,Asus,3404,AMD Ryzen 5,8,2048,17.4,1197,Linux,2.47,2023
503,HP,2068,AMD Ryzen 5,32,1024,15.4,1031,Linux,2.42,2019
506,Dell,330,Intel i7,64,256,18.8,1110,Linux,1.84,2022
507,Razer,3555,Intel i5,16,512,15.7,1366,Linux,1.14,2019
512,Acer,3757,Intel i5,64,1024,19.4,921,Windows 10,1.81,2022
521,Lenovo,3204,Intel i5,16,1024,15.0,1072,Linux,2.19,2024
523,Dell,3384,Intel i7,16,512,13.1,1504,Linux,2.4,2021
525,Asus,8878,Intel i5,16,256,13.9,1594,Windows 10,1.82,2019
526,HP,70,AMD Ryzen 7,8,512,18.3,820,Windows 10,1.2,2020
529,Acer,1911,Intel i7,16,2048,15.5,555,Windows 11,1.96,2020
530,Razer,4184,AMD Ryzen 5,16,1024,14.6,1096,Linux,0.92,2023
533,Asus,6535,Intel i9,64,1024,14.9,1528,Windows 10,2.7,2022
534,HP,1877,Intel i7,32,2048,16.5,1335,Windows 10,1.48,2020
536,Lenovo,6463,AMD Ryzen 5,32,1024,15.6,1400,Windows 11,2.2,2021
538,Lenovo,7097,Intel i7,8,2048,15.8,1016,Linux,2.12,2023
540,Razer,1182,AMD Ryzen 5,64,2048,17.2,998,Windows 11,2.46,2019
541,HP,9832,AMD Ryzen 7,8,512,16.6,1525,Windows 10,1.69,2024
542,Asus,1407,Intel i5,64,2048,16.5,285,Linux,1.51,2018
543,Razer,6141,AMD Ryzen 7,16,256,13.5,1234,Windows 11,1.89,2018
548,Razer,3622,Intel i5,64,2048,18.0,861,Windows 11,1.77,2019
549,Asus,59,AMD Ryzen 5,16,2048,15.5,1126,Linux,2.43,2020
550,Razer,4473,AMD Ryzen 5,64,512,17.7,1747,Linux,1.27,2023
551,Lenovo,1197,AMD Ryzen 7,8,2048,15.5,817,Windows 11,2.05,2020
556,Microsoft,6667,Intel i5,64,2048,13.9,1823,Linux,1.79,2019
558,Dell,5062,Intel i9,8,512,19.4,935,Windows 11,0.85,2023
560,Microsoft,823,AMD Ryzen 5,16,2048,14.5,1336,Windows 10,2.24,2019
562,Acer,6669,Intel i9,8,512,15.5,1217,Windows 11,1.17,2024
563,Lenovo,2596,Intel i7,64,1024,16.5,1599,Windows 10,0.98,2020
564,Microsoft,8083,Intel i7,32,1024,16.0,733,Windows 10,2.94,2020
566,Asus,6821,Intel i7,8,1024,19.6,1827,Windows 10,2.47,2021
567,Asus,4512,AMD Ryzen 7,64,2048,14.1,1804,Windows 11,1.2,2024
568,HP,2880,Intel i5,16,1024,15.4,1762,Windows 11,1.66,2018
569,Asus,9502,AMD Ryzen 5,16,256,15.8,371,Windows 10,1.29,2019
573,Acer,1228,AMD Ryzen 5,16,512,14.9,1162,Windows 10,1.75,2022
576,Razer,3242,Intel i7,64,256,14.6,1808,Windows 11,1.57,2021
577,Acer,9162,Intel i5,8,512,16.3,1606,Linux,1.88,2020
578,Dell,7264,Intel i9,32,512,17.0,1701,Windows 11,2.27,2021
580,Asus,5645,Intel i9,64,512,17.2,1348,Linux,1.7,2019
581,Lenovo,1191,AMD Ryzen 7,16,2048,13.8,859,Windows 11,1.8,2023
582,Asus,9319,Intel i7,8,2048,12.2,839,Linux,2.36,2022
585,Microsoft,7663,AMD Ryzen 5,8,256,17.3,918,Windows 11,2.06,2019
589,Microsoft,1136,AMD Ryzen 5,64,512,17.2,1285,Windows 10,2.26,2020
590,Acer,3845,Intel i5,64,256,15.7,1398,Windows 11,1.68,2019
591,Razer,2708,Intel i5,32,2048,15.9,2053,Windows 11,2.37,2019
597,Acer,86,Intel i9,8,1024,14.6,622,Linux,1.2,2019
601,Asus,4455,AMD Ryzen 7,8,512,17.0,1318,Windows 10,2.42,2019
604,Razer,5744,Intel i9,8,256,13.0,1246,Linux,2.62,2023
605,Microsoft,6985,Intel i9,16,256,17.0,1123,Linux,2.33,2022
606,Asus,2751,Intel i9,16,256,18.2,418,Windows 10,1.99,2024
611,Dell,4333,Intel i7,16,2048,18.6,901,Windows 11,2.06,2020
612,HP,5750,Intel i9,64,2048,15.8,1286,Windows 10,1.74,2022
615,Lenovo,7744,Intel i9,16,512,15.6,1474,Linux,0.93,2019
622,HP,7227,Intel i7,64,1024,16.5,950,Windows 10,2.21,2018
627,Microsoft,448,AMD Ryzen 5,64,1024,13.9,764,Windows 10,1.37,2021
632,Dell,2764,Intel i7,64,512,17.8,782,Windows 11,1.46,2018
634,Acer,2461,Intel i7,8,1024,14.2,1280,Linux,1.3,2023
637,Microsoft,167,AMD Ryzen 5,32,1024,17.6,1062,Windows 11,2.24,2021
638,Lenovo,6278,Intel i5,8,512,16.0,1297,Windows 10,1.88,2021
640,Asus,7662,Intel i9,32,1024,12.8,684,Linux,2.22,2024
642,Dell,8544,Intel i7,16,1024,16.7,1171,Windows 11,0.97,2018
644,Microsoft,9772,Intel i9,8,1024,15.7,1412,Linux,0.91,2018
645,Acer,1225,Intel i7,16,2048,13.5,1513,Linux,1.43,2021
648,Microsoft,2770,AMD Ryzen 5,16,256,14.3,1136,Windows 10,1.81,2018
651,Razer,1600,Intel i9,64,2048,16.1,1166,Windows 11,2.43,2022
652,HP,2710,Intel i7,32,512,15.7,1179,Windows 10,2.66,2022
655,Asus,8748,Intel i5,8,256,15.1,1884,Windows 10,1.99,2023
656,Asus,7938,Intel i9,8,256,13.3,417,Windows 11,1.19,2019
657,Asus,1682,Intel i5,16,256,16.5,1878,Windows 10,1.78,2020
658,Lenovo,2178,Intel i7,16,2048,16.6,1643,Linux,1.25,2020
659,Lenovo,8448,Intel i5,32,2048,14.1,803,Windows 10,1.4,2024
660,Lenovo,6008,Intel i9,64,1024,14.9,869,Windows 10,1.66,2018
661,Dell,2956,Intel i5,8,2048,15.4,287,Linux,0.93,2019
664,Asus,119,Intel i5,64,512,15.1,843,Windows 10,2.45,2019
668,HP,2158,Intel i5,32,256,17.1,724,Windows 10,1.88,2022
675,Microsoft,903,Intel i7,8,2048,13.7,1006,Linux,2.51,2020
677,Acer,2635,Intel i5,64,1024,16.8,1411,Linux,1.44,2024
683,Dell,1085,AMD Ryzen 5,8,256,14.3,620,Windows 10,2.66,2020
684,Razer,5018,Intel i9,32,1024,14.9,1027,Linux,2.1,2018
685,Asus,7182,Intel i7,32,256,18.4,1244,Linux,1.54,2021
687,HP,3222,Intel i7,16,1024,17.2,993,Windows 10,1.49,2024
688,Asus,4563,Intel i7,32,1024,15.3,1708,Windows 11,2.11,2022
689,Razer,6307,Intel i5,8,1024,15.1,387,Linux,1.49,2021
692,Asus,6912,Intel i7,16,1024,18.6,1246,Windows 10,3.11,2022
693,Lenovo,9718,Intel i5,64,256,17.3,1494,Windows 10,1.84,2020
695,Microsoft,3743,Intel i7,8,2048,18.0,1412,Windows 11,1.98,2021
696,Razer,3455,Intel i7,8,2048,14.4,1218,Windows 11,2.4,2022
699,Dell,5969,Intel i9,8,256,15.2,1108,Windows 11,1.68,2021
700,Razer,8282,Intel i9,8,1024,15.6,1071,Windows 10,1.63,2022
705,HP,3001,Intel i5,16,512,14.8,1123,Windows 11,2.07,2022
710,Dell,1343,Intel i7,64,256,15.7,1173,Linux,2.4,2021
712,HP,679,Intel i7,8,1024,18.6,813,Linux,2.53,2022
713,HP,5664,AMD Ryzen 5,16,2048,14.9,1312,Windows 10,1.46,2019
717,Dell,5324,AMD Ryzen 5,32,256,14.7,1724,Linux,1.84,2019
719,Razer,4924,Intel i9,8,256,15.5,1173,Windows 10,2.34,2023
720,Acer,7407,Intel i5,64,2048,15.0,901,Linux,0.95,2023
731,Razer,715,Intel i5,16,2048,18.4,909,Windows 10,1.85,2023
737,Razer,7768,Intel i7,8,1024,16.6,1857,Windows 10,2.01,2023
739,Razer,2104,Intel i7,16,512,17.6,830,Linux,2.92,2020
742,Dell,5276,Intel i7,32,256,15.6,717,Linux,1.86,2019
750,Dell,1658,Intel i5,16,2048,18.4,866,Linux,1.69,2024
753,Lenovo,726,Intel i9,8,2048,16.3,1472,Windows 11,1.59,2019
754,Microsoft,1274,AMD Ryzen 7,16,2048,19.0,1134,Windows 10,1.95,2019
755,Dell,8320,AMD Ryzen 7,16,256,13.2,858,Linux,1.81,2022
757,Asus,9606,AMD Ryzen 5,8,256,15.3,1488,Linux,1.25,2019
760,Acer,6754,AMD Ryzen 5,8,256,17.2,1121,Linux,1.83,2018
762,Microsoft,7072,Intel i5,16,512,15.5,1339,Windows 11,1.7,2022
764,Dell,924,Intel i9,32,512,18.0,798,Linux,2.04,2020
765,Microsoft,8866,Intel i9,64,1024,16.2,987,Windows 10,2.11,2021
767,HP,9943,AMD Ryzen 7,32,256,14.7,664,Windows 10,2.46,2021
768,Asus,6002,Intel i7,32,512,13.4,663,Windows 10,1.75,2022
769,Razer,2345,Intel i5,32,2048,15.4,2182,Windows 10,1.27,2024
771,Lenovo,8262,AMD Ryzen 7,16,256,15.1,1434,Linux,1.99,2018
772,Apple,4232,Apple M1,8,2048,15.3,1171,macOS,1.85,2023
775,Acer,5907,AMD Ryzen 7,16,512,15.9,1046,Windows 10,2.06,2024
778,Razer,7738,Intel i7,8,512,16.1,1568,Windows 11,2.26,2021
781,Asus,8245,AMD Ryzen 7,64,2048,13.8,1061,Windows 11,1.53,2020
786,Microsoft,5942,AMD Ryzen 5,64,1024,15.7,1015,Windows 10,1.75,2020
787,Razer,5136,AMD Ryzen 7,8,512,14.7,973,Linux,2.36,2020
789,Asus,5026,Intel i5,16,1024,14.6,1097,Windows 11,1.5,2023
790,HP,4754,AMD Ryzen 5,64,512,15.3,1478,Windows 10,1.35,2022
793,Razer,6475,AMD Ryzen 5,64,256,15.6,1695,Windows 10,1.67,2018
795,Razer,9977,Intel i7,32,256,16.0,832,Linux,2.11,2023
796,Acer,8476,Intel i7,32,2048,16.1,1094,Linux,2.12,2018
797,Acer,6964,Intel i9,32,512,18.3,1306,Linux,1.61,2018
799,Dell,8960,Intel i9,8,512,16.2,1937,Windows 10,2.72,2021
800,Dell,67,AMD Ryzen 5,8,256,15.5,1523,Windows 10,1.6,2022
806,Dell,9028,Intel i5,16,256,12.9,1298,Windows 11,1.48,2020
807,Dell,2080,AMD Ryzen 5,32,1024,16.2,773,Linux,2.34,2019
810,Microsoft,7993,Intel i9,64,512,16.0,1083,Windows 11,1.35,2020
814,Razer,884,Intel i5,64,256,14.6,1054,Linux,1.71,2021
816,Microsoft,256,AMD Ryzen 7,64,512,17.0,1151,Windows 11,1.11,2021
817,Asus,5447,Intel i7,8,2048,16.2,914,Windows 11,1.48,2023
823,Razer,4788,Intel i5,64,256,13.9,1133,Linux,1.88,2019
824,Asus,6385,AMD Ryzen 7,32,512,15.3,958,Windows 10,1.45,2020
825,Microsoft,8548,Intel i7,8,512,14.8,354,Windows 10,2.38,2020
