Brand,Model,Processor,RAM_GB,Storage_GB,Screen_Size_Inches,Price_USD,Operating_System,Weight_KG,Release_Year
HP,Model_975,AMD Ryzen 5,8.0,256,16.5,2046.671452509545,Windows 10,2.26,2020
Microsoft,Model_1792,Intel i5,64.0,2048,15.5,898.5154983851526,macOS,2.41,2024
Apple,Model_9980,Intel i7,32.0,512,15.1,1344.3614651940456,Windows 10,1.29,2023
Apple,Model_5238,,64.0,256,15.8,1084.5315525404274,Windows 11,2.04,2024
Microsoft,Model_7953,AMD Ryzen 7,8.0,512,16.8,746.8810548336905,Windows 11,2.25,2023
Asus,Model_6740,Apple M1,32.0,1024,17.0,839.7149015927195,macOS,2.09,2024
Acer,Model_4005,Intel i5,16.0,512,16.2,612.4739173482396,macOS,1.67,2020
Microsoft,Model_8215,Intel i5,8.0,1024,16.0,1819.6370980089946,Windows 10,1.42,2022
Lenovo,Model_8133,Apple M1,32.0,1024,17.1 inches,935.443571346367,Windows 11,2.17,2023
Razer,Model_7175,AMD Ryzen 7,8.0,1024,15.1,1585.807432454438,macOS,2.27,2018
Microsoft,Model_3907,AMD Ryzen 5,64.0,2048,15.4,$1389.84,macOS,0.99,2022
HP,Model_6688,AMD Ryzen 7,32.0,512,16.0,1836.5742129589935,macOS,2.48,2018
Apple,Model_6601,Intel i5,64.0,256,15.5 inches,1581.8532856697734,Linux,2.02,2024
Dell,Model_7186,Apple M1,16.0,0TB,15.8,707.6183159755391,macOS,1.42,2021
Razer,Model_1928,AMD Ryzen 7,32.0,512,13.2,1657.7690938967125,Windows 11,1.48,2019
Razer,Model_1496,Intel i5,16.0,2048,18.1,672.771092155139,Linux,2.02,2020
Asus,Model_8123,,,256,16.0,$1745.33,macOS,1.33,2018
HP,Model_1974,Intel i7,8.0,512,16.3,1063.286744692582,Linux,2.16,2019
Asus,Model_1694,,,256,17.2 inches,1161.832219235066,windows 10,3.12,2019
HP,Model_4849,Intel i7,8.0,512,13.8,1469.567389191693,Windows 11,2.0,2022
Lenovo,Model_7712,Intel i7,64.0,1024,18.0,1303.0749913491265,Linux,1.97,2020
Apple,Model_914,Intel i5,8.0,512,14.8,1504.14342130343,Windows 10,1.68,2018
Dell,Model_2966,,16.0,512,17.2,1024.713427050455,Linux,1.93,2018
Razer,Model_9370,AMD Ryzen 5,N/A,256,14.7,1174.8392507819733,Windows 10,1.65,2018
Dell,Model_7464,AMD Ryzen 5,eight GB,512,15.0 inches,,Linux,2.57,2024
Microsoft,Model_908,Intel i9,8.0,2048,16.6,830.1860678419064,macOS,1.66,2024
Asus,Model_4731,Intel i9,,256,14.8,1382.5148326622445,Linux,1.56,2021
Dell,Model_5149,AMD Ryzen 7,32.0,256,15.4,944.7416222661088,Linux,2.6,2020
Acer,Model_6338,Apple M1,32.0,2048,16.4,1341.3424202934561,Windows 10,1.78,2020
Microsoft,Model_1093,Apple M1,8.0,2048,16.4,1920.0532161611145,macOS,2.52,2019
Acer,Model_7531,Intel i5,64.0,1024,16.1,1399.0697444175958,macOS,1.39,2024
Lenovo,Model_4761,Intel i9,32.0,2048,17.5,946.1472297349878,Linux,,2024
HP,Model_5647,Intel i9,64.0,256,15.1,1125.2576768007407,Windows 10,1.4,2022
Asus,Model_7834,AMD Ryzen 5,8.0,2048,13.8,1020.6116111607024,macOS,2.59,2018
HP,Model_8348,Intel i9,16.0,256,15.3,515.7428180507716,Windows 10,2.58,2020
Acer,Model_9413,Apple M1,,256,16.2,1119.7982466759936,Windows 10,0.99,2020
Dell,Model_2204,AMD Ryzen 7,8.0,512,15.2,1166.0991798162777,Linux,1.78,2024
Asus,Model_596,AMD Ryzen 7,64.0,256,16.0,1323.8652239862326,Linux,1.69,2020
HP,Model_6450,,8.0,512,17.1,1187.3438773515186,Windows 10,2.05,2020
HP,Model_3408,Intel i9,32.0,1024,15.3,$1622.21,Linux,2.04,2022
HP,Model_4795,AMD Ryzen 5,16.0,2048,17.4,1479.6564730947603,Windows 10,3.08,2020
HP,Model_541,,32.0,1024,15.3,1411.4302028300517,macOS,1.91,2024
HP,Model_2992,AMD Ryzen 7,32.0,1024,14.3,1120.1246474189718,Windows 10,1.83,2022
Lenovo,Model_6451,AMD Ryzen 7,8.0,2048,16.9,770.3864129311917,Windows 11,1.53,2019
Microsoft,Model_3471,Intel i5,64.0,256,17.9,280.6775279384583,macOS,1.98,2022
Lenovo,Model_515,,64.0,256,16.2,1599.6289411415466,Linux,2.08,2018
Microsoft,Model_5885,AMD Ryzen 5,8.0,2048,15.1,1208.2722042999203,Linux,2.32,2019
Razer,Model_206,AMD Ryzen 5,32.0,2048,17.3 inches,702.3953663306042,Linux,1.98,2020
Lenovo,Model_3937,Intel i9,32.0,1024,15.9,775.1364847916093,Linux,1.51,2020
Lenovo,Model_8751,Intel i9,16.0,2048,14.9,1583.7562106544838,Linux,2.22,2024
HP,Model_3812,Intel i7,64.0,2048,16.0,1637.5241282849165,macOS,2.22,2023
Acer,Model_6582,Intel i9,32.0,1024,17.2,913.5975194464966,macOS,1.27,2018
Lenovo,Model_5660,AMD Ryzen 7,8.0,512,17.1,920.4760826445342,macOS,,2024
Dell,Model_6548,,8.0,1024,17.8,1260.6431641486117,Windows 10,2.34,2022
Dell,Model_3590,Intel i5,32.0,512,16.6,1144.548716573746,Windows 10,1.68,2022
Asus,Model_4489,Intel i7,64.0,1024,17.3,540.1429902418082,Linux,1.71,2022
Dell,Model_4778,AMD Ryzen 5,64.0,1TB,17.1,250.34551846979343,Windows 11,1.86,2022
HP,Model_913,AMD Ryzen 5,64.0,256,18.8 inches,711.3698531820608,Windows 10,1.82,2022
Apple,Model_1183,Intel i7,64.0,512,16.1,1610.3736829002264,macOS,2.39,2018
Razer,Model_9828,Intel i5,32.0,512,16.3,1343.6112004176848,Windows 10,,2019
Acer,Model_2132,AMD Ryzen 7,16.0,512,15.0 inches,1217.0735666790597,macOS,1.76,2022
Razer,Model_6226,Intel i5,16.0,256,15.4,701.6242710164935,macOS,1.24,2020
Acer,Model_5594,AMD Ryzen 7,16.0,2048,16.2,890.2126655457758,Windows 10,3.4,2024
Acer,Model_8801,Intel i9,16.0,2048,15.3,1288.248953162661,Windows 10,2.35,2018
Apple,Model_1434,AMD Ryzen 5,32.0,2048,16.0,1209.4214710045164,Windows 11,1.73,2019
Microsoft,Model_7787,AMD Ryzen 7,32.0,1024,13.9,1513.3155350874642,macOS,1.83,2022
Apple,Model_3052,Intel i5,32.0,512,15.8,$1552.25,Linux,1.72,2019
Dell,Model_6479,Intel i7,,256,16.9,1042.3898046154286,Windows 11,2.02,2023
Microsoft,Model_7120,Apple M1,16.0,2048,14.3,1233.4064171946272,macOS,1.48,2024
Dell,Model_300,AMD Ryzen 5,64.0,2048,14.3,664.5909911795933,Windows 10,1.27,2022
Microsoft,Model_5423,Intel i5,16.0,256,15.2,1765.3970628851632,Windows 10,2.05,2020
Asus,Model_2305,Intel i7,,1024,16.2,,Windows 10,1.97,2024
Asus,Model_9622,Intel i5,N/A,256,15.4,1180.1298986780478,Windows 11,2.0,2020
Microsoft,Model_5930,Intel i9,64.0,2048,15.8 inches,1761.1681237425105,Windows 10,1.94,2022
Dell,Model_8793,Apple M1,16.0,2048,16.5,1648.5492603774842,Windows 11,2.35,2023
Dell,Model_4131,Apple M1,64.0,1024,13.1 inches,$370.39,macOS,1.97,2024
Lenovo,Model_6262,Intel i5,,2048,13.5,1223.6005988408335,Windows 11,1.58,2018
Microsoft,Model_7595,Apple M1,64.0,2048,16.0,,Linux,2.02,2019
Microsoft,Model_2818,Intel i5,64.0,1024,17.9,$1233.31,macOS,1.68,2019
Acer,Model_2098,Intel i7,64.0,0TB,17.6,2306.8129485680665,macOS,2.95,2018
HP,Model_7755,Intel i5,16.0,2048,13.9 inches,1424.3077437439192,Windows 10,1.41,2022
Microsoft,Model_4474,Apple M1,64.0,1024,15.5,1116.7718802538343,Windows 11,1.97,2023
Razer,Model_8266,Intel i9,,1024,13.5,921.3790747408493,Linux,1.34,2023
Dell,Model_8046,Intel i5,64.0,0TB,15.5,1184.7342823482861,Windows 11,1.72,2024
Asus,Model_6362,AMD Ryzen 7,8.0,0TB,16.9,1047.8830238367273,macOS,1.23,2022
Apple,Model_760,Apple M1,32.0,2048,16.6,1390.650681497379,macOS,2.41,2024
Razer,Model_2079,AMD Ryzen 7,64.0,256,15.7,845.7689735018064,Windows 10,2.33,2019
Acer,Model_2739,Intel i7,16.0,2048,14.7,1545.0217562109065,Linux,2.31,2021
Razer,Model_3780,Intel i5,,512,11.7,1205.6625987827508,Linux,2.46,2021
Dell,Model_5938,Intel i7,16.0,2048,17.1,884.4110845580244,Linux,1.39,2024
Razer,Model_9140,Intel i5,32.0,256,14.7,$888.72,Windows 10,1.47,2022
Razer,Model_3448,AMD Ryzen 7,16.0,256,16.2,,Windows 11,2.06,2018
Lenovo,Model_1706,Intel i9,16.0,256,15.5,$759.19,Windows 10,1.08,2023
Microsoft,Model_3468,Intel i9,8.0,1024,15.0,1697.3780274598803,Windows 11,2.07,2022
Microsoft,Model_8994,Intel i7,,512,16.2,1294.113229622369,Linux,1.79,2019
Asus,Model_1055,Intel i7,16.0,1024,16.6,987.0526575093525,Linux,2.23,2022
HP,Model_2567,Intel i5,64.0,2048,12.7,796.9802515794288,macOS,2.71,2023
Razer,Model_2220,Apple M1,64.0,0TB,16.7,2052.162897850558,Windows 10,2.1,2023
Acer,Model_5683,Intel i5,,512,15.9,$1194.88,Linux,1.44,2023
Microsoft,Model_2128,Intel i5,8.0,256,16.4,1235.0243893305815,Windows 10,3.23,2018
Lenovo,Model_7152,,,256,16.6,896.5931805669727,Linux,1.34,2019
Dell,Model_440,Apple M1,8.0,2048,15.8,1379.7369239807997,Windows 10,1.63,2021
Lenovo,Model_2909,AMD Ryzen 7,16.0,256,17.9,1432.6686171843755,macOS,1.01,2021
Razer,Model_4759,Intel i7,,2048,14.2,833.6080906442385,Windows 11,2.15,2019
Apple,Model_9086,Intel i5,16.0,0TB,13.6,1033.8976087414733,macOS,2.36,2019
Lenovo,Model_8141,Apple M1,16.0,512,12.9,587.9820600831589,Windows 11,2.52,2023
Microsoft,Model_8673,Intel i5,32.0,1TB,15.7,$694.85,Linux,1.32,2020
Microsoft,Model_9593,Apple M1,32.0,2048,15.7,906.6738086811126,Windows 11,1.75,2024
Asus,Model_205,Intel i7,32.0,512,16.9,1882.388391311113,Windows 11,1.22,2019
Dell,Model_2123,AMD Ryzen 7,32.0,512,14.5,1416.1450869020487,Windows 11,2.33,2024
Razer,Model_750,Intel i7,64.0,1024,16.3,1848.5633401322457,Linux,2.52,2019
Microsoft,Model_2828,Intel i5,16.0,2048,15.5,1141.8706860764923,macOS,1.8,2022
HP,Model_2331,Intel i5,32.0,512,12.9,1108.143749307299,Linux,1.55,2018
Dell,Model_3439,AMD Ryzen 7,16.0,512,14.6,1431.3552281301572,Windows 10,2.41,2024
Asus,Model_253,AMD Ryzen 5,32.0,2048,16.1,261.8332261728274,Windows 11,1.6,2021
Lenovo,Model_2475,AMD Ryzen 7,64.0,256,16.6 inches,$1250.30,macOS,1.49,2024
HP,Model_3929,Intel i7,64.0,1024,14.9,1418.5403712485474,Windows 11,1.74,2021
Apple,Model_5394,,8.0,512,15.2,557.5534856831148,Linux,2.41,2018
Acer,Model_9455,AMD Ryzen 5,64.0,256,15.0,1310.4383478621905,Windows 10,1.36,2018
Apple,Model_444,AMD Ryzen 7,64.0,1024,14.3,892.2583353342117,macOS,2.36,2018
Dell,Model_1047,AMD Ryzen 5,16.0,1024,17.1,1683.4062108989347,Windows 10,1.95,2020
Apple,Model_7563,Apple M1,64.0,2048,16.5,1946.2419120380482,Linux,2.27,2022
Acer,Model_3878,Intel i7,16.0,1024,15.9,1473.3649608621831,Windows 10,1.05,2020
Apple,Model_9687,,32.0,256,18.7,1323.402820197751,Windows 11,1.7,2023
Razer,Model_4229,Apple M1,32.0,2048,15.9,1417.886200243807,Windows 10,0.56,2019
Lenovo,Model_3216,AMD Ryzen 5,8.0,1024,15.6,1855.1522600197434,Linux,1.96,2019
Razer,Model_703,Apple M1,32.0,1024,17.4,2384.663979437358,macOS,1.29,2018
Acer,Model_1608,Intel i7,16.0,512,14.5,1099.7838961222562,macOS,0.72,2019
Microsoft,Model_1250,AMD Ryzen 7,32.0,256,16.0,1799.3879379512396,macOS,0.93,2024
HP,Model_9654,AMD Ryzen 7,16.0,2048,13.8,1211.7320341745485,Linux,1.42,2021
Dell,Model_8797,Apple M1,64.0,256,14.0,1465.477976659941,Linux,2.07,2023
Acer,Model_6931,AMD Ryzen 5,8.0,512,16.6,,Windows 10,1.54,2019
Asus,Model_1512,Intel i9,64.0,2TB,16.4,1413.942033055991,macOS,1.69,2021
Microsoft,Model_4766,AMD Ryzen 5,16.0,256,14.6,$1200.21,Linux,2.48,2018
HP,Model_1924,Apple M1,8.0,512,16.5 inches,1235.0987099742727,Windows 11,1.78,2020
HP,Model_905,Apple M1,,2048,16.3,1694.1014951179632,macOS,2.13,2024
Apple,Model_2238,Apple M1,64.0,2048,15.7,292.32701792892453,Windows 11,2.35,2021
HP,Model_6081,AMD Ryzen 7,8.0,256,15.6,1552.628190455237,Windows 11,1.7,2023
Apple,Model_7749,AMD Ryzen 5,,256,15.2,1997.3370018856574,Windows 11,1.41,2019
Acer,Model_9190,,8.0,256,16.2,1242.864499016353,Linux,1.68,2021
Lenovo,Model_9015,Apple M1,16.0,2048,16.6,1157.2071984555043,Windows 11,2.18,2021
Acer,Model_9053,AMD Ryzen 7,16.0,512,15.7,1221.7412517614644,Linux,1.56,2020
HP,Model_7212,Intel i7,16.0,2048,13.7,1510.7304660238665,Linux,1.89,2020
HP,Model_3510,Intel i7,8.0,1024,14.5,1212.7779009077185,Windows 10,,2024
Acer,Model_2083,AMD Ryzen 5,32.0,512,15.2,1197.096542939422,Windows 10,1.99,2019
Lenovo,Model_3310,AMD Ryzen 5,32.0,512,16.4,$1253.47,Windows 11,1.31,2018
Dell,Model_6781,AMD Ryzen 7,64.0,256,12.9,$1119.55,Windows 10,1.46,2023
Acer,Model_6082,AMD Ryzen 7,8.0,2048,18.8,1267.8187834714831,macOS,1.55,2020
Acer,Model_6325,AMD Ryzen 5,64.0,1024,14.3,1219.4528649624613,macOS,1.22,2020
Razer,Model_385,Intel i7,16.0,256,15.2,$1573.99,Windows 10,1.59,2018
Dell,Model_7652,AMD Ryzen 7,8.0,2048,15.5,916.8906295156701,Linux,1.63,2018
Acer,Model_5216,Apple M1,16.0,256,16.5,885.9823730489904,macOS,1.29,2021
Lenovo,Model_9723,Intel i5,,512,14.9,1964.9979827026375,Linux,1.19,2019
Razer,Model_9897,Intel i7,32.0,2048,17.6,1336.3548438469768,Windows 11,1.61,2019
Razer,Model_2293,Intel i5,32.0,256,13.9 inches,725.141893468799,macOS,1.65,2024
Asus,Model_8263,Apple M1,64.0,512,16.3,1220.9117672968327,Linux,2.13,2021
Acer,Model_3103,AMD Ryzen 5,16.0,256,15.7,$1492.29,macOS,2.43,2019
Acer,Model_1729,Intel i7,16.0,1024,14.8 inches,551.7782877800009,Windows 11,1.74,2020
Asus,Model_5858,,8.0,2048,14.3,880.0401233930925,Windows 10,1.62,2024
Asus,Model_7970,Intel i9,32.0,512,14.2,915.054142975546,Windows 10,1.56,2019
Acer,Model_584,,64.0,256,12.8,712.6571378473993,Windows 11,1.31,2019
HP,Model_2322,Intel i7,64.0,512,20.5 inches,1217.8420342112936,Windows 10,2.01,2024
Apple,Model_6804,,16.0,2048,16.4,$1478.72,Windows 11,1.97,2023
Dell,Model_2576,Intel i5,16.0,512,15.9,994.5858778472357,Windows 10,2.56,2024
Acer,Model_7520,Intel i9,16.0,2048,16.4,1232.4107631180352,Windows 11,1.14,2018
HP,Model_8912,AMD Ryzen 7,8.0,2048,19.3,901.5332255957842,Windows 10,1.13,2020
HP,Model_4851,Intel i7,,512,14.3 inches,948.2997372231487,macOS,1.84,2018
Lenovo,Model_7657,Intel i5,32.0,1TB,15.8,1053.2400002854715,Windows 10,1.46,2024
HP,Model_3784,Intel i7,16.0,256,17.4,,Windows 10,1.21,2024
Asus,Model_4500,,32.0,256,15.0,1776.297077791482,Windows 10,1.92,2024
Microsoft,Model_4199,Intel i9,32.0,2048,13.6,1527.5501580244477,Windows 10,1.81,2023
Apple,Model_7073,Intel i9,,512,16.6,1335.3585393134556,Linux,1.82,2022
Microsoft,Model_5327,AMD Ryzen 7,64.0,512,14.4,970.5158386039038,macOS,2.37,2019
Lenovo,Model_1239,Intel i9,16.0,256,15.5,1348.635420027515,Linux,2.45,2020
Razer,Model_9990,Intel i9,32.0,1024,15.5,1557.7995842207004,macOS,1.41,2018
Acer,Model_6937,AMD Ryzen 5,8.0,2048,14.0,$1103.94,Windows 10,1.19,2024
Microsoft,Model_9850,Apple M1,8.0,1024,14.6,1280.792410193306,Windows 11,2.09,2022
Dell,Model_9130,AMD Ryzen 5,8.0,1024,18.5 inches,2459.146444529809,macOS,1.85,2021
Razer,Model_5729,Apple M1,64.0,2048,18.3,522.3836218762244,Windows 11,1.71,2020
HP,Model_4666,AMD Ryzen 5,64.0,512,16.1,1489.749015261474,macOS,2.3,2021
HP,Model_5868,Intel i9,8.0,1024,16.0,306.6911784941292,Linux,,2024
Acer,Model_4400,AMD Ryzen 5,8.0,1024,16.3,651.7327522775784,Linux,1.53,2023
Razer,Model_1967,Intel i5,16.0,2048,14.8,1485.0348033535686,macOS,1.83,2024
Dell,Model_6001,Apple M1,16.0,256,15.4,1694.912954456107,Linux,1.79,2022
Dell,Model_2934,Intel i5,64.0,512,17.0,1810.441728691846,macOS,1.3,2020
Dell,Model_1051,AMD Ryzen 5,16.0,1024,14.9,1683.681019230553,Linux,,2022
Razer,Model_3660,Apple M1,32.0,1024,17.9,1177.772710909985,Windows 11,2.25,2022
Microsoft,Model_1635,Intel i9,,2048,16.0 inches,$1752.38,Windows 10,1.96,2020
Acer,Model_1247,Apple M1,64.0,256,14.5,907.1840273769562,Windows 10,1.69,2020
Lenovo,Model_6556,Intel i7,8.0,2048,14.5,1030.5299882082347,macOS,2.71,2022
Acer,Model_7509,Intel i5,16.0,256,17.0,247.9626858834497,macOS,2.75,2018
Lenovo,Model_955,Intel i9,16.0,256,14.5,577.7468584678714,Linux,2.14,2023
Acer,Model_451,Intel i5,8.0,2048,16.6,732.7903232673036,macOS,2.3,2023
Dell,Model_7242,Intel i9,32.0,1024,14.6,1071.178643195318,Windows 11,1.32,2024
Lenovo,Model_5850,Intel i5,32.0,512,16.4,1103.2648700171148,Windows 11,2.13,2023
Acer,Model_6130,Apple M1,16.0,2048,16.1,656.4447671844639,Windows 11,1.35,2021
Lenovo,Model_1396,Intel i9,64.0,1024,15.8,1177.5270770493344,Windows 11,1.09,2021
HP,Model_4700,Intel i7,8.0,256,17.0,800.5620884197579,Linux,2.78,2023
Razer,Model_947,Intel i9,,2048,16.0,1115.4033684980802,Windows 11,2.28,2023
Acer,Model_8145,AMD Ryzen 5,64.0,1024,14.1,652.7374755809421,macOS,1.97,2024
Apple,Model_2255,,16.0,256,17.2,1582.8295950545883,Windows 11,1.74,2022
Apple,Model_204,AMD Ryzen 7,32.0,512,15.9,,Windows 10,1.82,2021
Razer,Model_6368,Intel i9,32.0,2048,17.4,950.620954344466,Windows 11,2.12,2020
Lenovo,Model_9302,Apple M1,64.0,1024,16.1,1006.8821572461165,Windows 11,1.36,2020
Acer,Model_7632,Intel i5,8.0,512,14.4,938.2217292857542,Windows 10,1.75,2024
Lenovo,Model_1100,Apple M1,64.0,256,17.4,722.3396766775197,Linux,2.31,2020
Apple,Model_1355,AMD Ryzen 5,32.0,256,11.7,1131.423004212211,Linux,2.26,2022
Acer,Model_1720,AMD Ryzen 7,8.0,512,16.3,2080.237784381372,Windows 10,2.12,2024
Razer,Model_380,Intel i5,64.0,1024,13.3,814.5375889750003,Linux,1.72,2020
Lenovo,Model_6993,Intel i9,16.0,256,14.6,1114.5917418114884,Linux,2.29,2018
Dell,Model_9000,Intel i9,8.0,2048,15.9,1758.750593742212,Windows 10,2.73,2020
Asus,Model_7463,Intel i7,16.0,2048,15.8,1015.9643301742808,Linux,0.87,2021
Asus,Model_185,Intel i5,64.0,512,17.0,1182.0239695587536,Windows 10,1.81,2024
Apple,Model_3830,Intel i7,,256,14.1,608.5299449590808,macOS,1.55,2019
Dell,Model_4154,Apple M1,8.0,1024,15.7,1100.5654761824312,Linux,1.51,2024
Razer,Model_5813,Intel i7,8.0,0TB,15.5,1106.1048731944497,Windows 10,1.28,2024
Apple,Model_5523,AMD Ryzen 7,32.0,1024,14.4,949.4124511788866,Windows 11,1.95,2020
Asus,Model_5492,AMD Ryzen 7,32.0,1024,18.8,1290.804212984287,Linux,1.5,2022
Lenovo,Model_8372,AMD Ryzen 7,16.0,256,17.8,$1280.05,macOS,1.97,2021
Lenovo,Model_1444,AMD Ryzen 5,32.0,1024,16.5,1942.25427364483,Windows 11,0.99,2019
Acer,Model_4925,AMD Ryzen 5,32.0,1024,15.6,$1205.29,macOS,1.83,2020
,Model_1473,AMD Ryzen 7,32.0,256,13.4 inches,969.4140403044803,Linux,2.75,2018
Razer,Model_1914,Intel i9,64.0,2048,14.3,997.2144185217123,Windows 11,,2018
Asus,Model_3097,,8.0,1024,16.5,1160.257482669066,macOS,1.33,2021
Asus,Model_5638,Apple M1,8.0,2048,16.6,871.8343688400385,Windows 10,2.12,2024
Microsoft,Model_3988,Apple M1,32.0,1TB,15.6,1283.7753283673364,macOS,2.13,2019
Microsoft,Model_2346,Intel i9,64.0,1TB,15.3,-30.233115567792083,Windows 11,1.78,2023
HP,Model_7008,AMD Ryzen 5,8.0,1TB,15.2,737.9556651089736,Windows 10,1.73,2023
Acer,Model_3194,Apple M1,32.0,512,16.8,1219.9171287374868,Windows 10,2.61,2022
Acer,Model_4123,Apple M1,16.0,512,16.1,1256.0358181704632,Windows 10,1.22,2022
Dell,Model_2018,Intel i7,8.0,2048,16.3,1473.4671444914234,Windows 10,1.45,2022
Dell,Model_7443,Intel i7,32.0,2048,17.1,997.8724172960456,Windows 11,2.57,2024
HP,Model_6369,AMD Ryzen 5,8.0,2048,14.7,1542.907816875671,Windows 11,1.55,2019
HP,Model_7596,AMD Ryzen 7,32.0,256,15.3,1819.7859851180851,Windows 10,3.27,2020
Microsoft,Model_5739,AMD Ryzen 7,,256,13.6,1420.1275477700563,Windows 11,1.27,2022
Dell,Model_2601,,16.0,1TB,13.7,9498.244061740697,macOS,1.51,2023
Microsoft,Model_8221,Apple M1,,512,15.2,1597.6599161636293,Windows 10,1.49,2020
Asus,Model_6662,Intel i7,8.0,512,13.4,1132.8116630201012,Linux,1.9,2019
Dell,Model_413,AMD Ryzen 5,32.0,1024,15.0,1045.3207646818482,macOS,2.69,2022
Asus,Model_3736,Apple M1,,2048,14.7,1238.2856828370839,Linux,1.65,2019
Asus,Model_7536,Intel i5,64.0,2TB,15.3,1496.248831825757,Linux,2.41,2023
Microsoft,Model_8935,,16.0,256,17.8,1065.2686748267645,macOS,2.57,2018
Acer,Model_1880,Intel i5,,512,11.4,1595.5688059071574,Windows 10,1.44,2024
HP,Model_2414,Intel i7,32.0,2048,15.2,2031.2989309124432,macOS,2.56,2022
Dell,Model_4896,AMD Ryzen 7,64.0,512,14.9,417.60648926479064,windows 10,1.66,2024
HP,Model_4923,Intel i7,16.0,1024,16.3,1136.126206359881,Windows 10,2.28,2020
Asus,Model_8170,Intel i7,16.0,256,15.7,1428.2350374876341,Windows 11,1.73,2022
Lenovo,Model_3359,,16.0,256,15.3 inches,753.4277068180309,Windows 11,1.85,2022
HP,Model_3861,Intel i5,16.0,2048,17.8,455.8640831247552,Windows 10,1.74,2023
Dell,Model_7128,Intel i7,16.0,256,15.7,1326.1085712639228,Windows 11,1.44,2018
Microsoft,Model_5002,Intel i5,16.0,512,13.5,1367.9301517879328,Linux,1.08,2022
Acer,Model_2560,AMD Ryzen 7,16.0,1024,18.0,909.058118931525,macOS,0.8,2024
Lenovo,Model_6859,Intel i7,16.0,256,14.4,647.7016525139255,Windows 11,1.64,2022
HP,Model_5412,Intel i7,8.0,1024,14.3,1154.6896697754341,Windows 11,1.25,2023
Apple,Model_3049,Intel i5,32.0,1024,16.6,1168.0536392591962,Mac OS,2.59,2019
Apple,Model_4451,Apple M1,8.0,512,15.8,1492.842834325628,macOS,1.39,2024
Microsoft,Model_3466,Intel i5,32.0,1024,13.3 inches,1042.3901031032897,Windows 11,,2019
Razer,Model_8365,Intel i5,16.0,2048,14.2,,Linux,1.93,2023
